name,mean_month,flowering_cat,Genus,SpeciesSubSpecies,latitude,longitude,HabitatType,State,County,RecordYear,DateIdentified,quarter
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,32.30088,-106.59939,Desert,New Mexico,Doña Ana,2019,2019-05-02,2
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,36.262708,-115.610094,NA,Nevada,Clark,2016,2016-08-25,3
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,36.26339,-115.611795,NA,Nevada,Clark,2016,2016-08-25,3
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,36.264192,-115.611074,NA,Nevada,Clark,2016,2016-08-25,3
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,36.161899,-115.648427,NA,Nevada,Clark,2016,2016-08-09,3
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,36.161826,-115.499966,NA,Nevada,Clark,2016,2016-06-25,2
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,36.165396,-115.653205,NA,Nevada,Clark,2016,2016-06-14,2
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,36.072627,-115.458643,NA,Nevada,Clark,2016,2016-04-14,2
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,40.562701,-109.055558,"Riparian, Shrubland",Utah,Uintah,2016,2016-06-22,2
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,41.754,-111.788,NA,Utah,NA,1992,1992-05-29,2
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,39.0684,-110.654,NA,Utah,NA,1991,1991-05-25,2
Asclepias asperula,6.333333333333333,early,Asclepias,asperula,38.3321,-113.6178,NA,Utah,Beaver,1969,1969-07-13,3
Asclepias californica,6,early,Asclepias,californica,34.359415,-117.58971,"Desert, Montane",California,San Bernardino,2019,2019-06-28,2
Asclepias californica,6,early,Asclepias,californica,32.850841,-116.42437,"Forest, Roadside",California,San Diego,2018,2018-06-28,2
Asclepias californica,6,early,Asclepias,californica,34.02423,-118.454365,"Urban Area, Garden",California,Los Angeles,2019,2019-06-02,2
Asclepias californica,6,early,Asclepias,californica,36.416518,-118.918157,Roadside,California,Tulare,2019,2019-05-11,2
Asclepias californica,6,early,Asclepias,californica,33.638134,-117.423604,Shrubland,California,Riverside,2019,2019-05-11,2
Asclepias californica,6,early,Asclepias,californica,36.8674342,-119.2828355,Grassland,California,Fresno,2018,2018-04-16,2
